label,area_filled,perimeter,axis_major_length,axis_minor_length,eccentricity,area,intensity_mean,intensity_max,intensity_min,extra_feature
117,270,60.04163056,21.19340034,16.45754404,0.630066738,270,70.84814815,153,27,234
118,251,56.87005769,19.97797676,16.08374621,0.593174622,251,67.02390438,151,26,236
119,337,73.08326112,22.35616018,19.73016391,0.470240832,337,66.29080119,172,28,238
120,280,62.18376618,21.1823237,17.07231855,0.591956311,280,62.24285714,102,30,240
121,271,60.87005769,22.49334542,15.41758837,0.72813959,271,81.55719557,146,33,242
122,279,59.9411255,19.64572991,18.11638594,0.386823258,279,79.43727599,157,34,244
123,208,58.07716447,17.91931048,15.37105214,0.513995948,208,63.42307692,113,30,246
124,481,83.98275606,26.74108836,23.36682108,0.48625469,481,90.36590437,207,29,248
125,187,52.97056275,20.69875031,12.00740228,0.814543297,187,59.22459893,176,28,250
126,450,76.76955262,24.76441476,23.21310079,0.348369929,450,99.18888889,210,28,252
127,305,63.9411255,21.52994294,18.1936126,0.534706792,305,74.30163934,141,20,254
128,3,1,3.265986324,0,1,3,66.66666667,72,61,256
129,386,76.76955262,26.12098716,19.35622931,0.671480615,386,74.06994819,126,27,258
130,262,58.28427125,19.51685403,17.23867091,0.468862842,262,79.82061069,172,22,260
131,450,85.42640687,32.65613061,17.93215108,0.835743182,450,69.53111111,136,28,262
132,276,61.35533906,20.93653046,17.07321002,0.57879278,276,64.41304348,130,33,264
133,267,61.45584412,22.80053895,15.08718286,0.749766141,267,82.82771536,203,30,266
134,257,58.87005769,19.51580666,17.03817729,0.487639662,257,66.44747082,183,36,268
135,302,65.11269837,22.81474096,17.05579306,0.664174288,302,73.75496689,129,24,270
136,300,64.28427125,20.30410725,19.15954378,0.33100509,300,69.39,126,29,272
137,281,61.11269837,21.9626127,16.38199311,0.666053854,281,83.13523132,129,26,274
138,261,59.35533906,20.02894966,16.88037023,0.538229098,261,88.92720307,216,24,276
139,251,56.87005769,19.26020218,16.64816232,0.502836588,251,63.61752988,106,34,278
140,273,59.9411255,19.41883122,18.06375649,0.367006131,273,75.88278388,165,24,280
141,257,59.11269837,19.87455727,16.52960392,0.555230204,257,71.63035019,167,33,282
142,238,54.87005769,17.84811875,17.03047234,0.299205649,238,102.9663866,171,24,284
143,221,53.79898987,18.24086071,15.48259388,0.52873595,221,74.28959276,170,33,286
144,314,65.21320344,20.82505683,19.60394488,0.337394543,314,70.11146497,144,27,288
145,346,67.35533906,21.67078619,20.58969762,0.311905621,346,86.90462428,160,19,290
146,241,57.21320344,20.16677448,15.31076892,0.650848512,241,83.93360996,149,26,292
147,182,49.55634919,17.33962336,13.52577863,0.625716796,182,72.07142857,147,33,294
148,132,40.72792206,13.65411727,12.53338513,0.396765886,132,58.11363636,75,37,296
149,188,52.14213562,19.90088824,12.55958755,0.775695882,188,89.89893617,156,24,298
150,87,38.48528137,17.58403692,6.499180885,0.929188226,87,80.18390805,124,29,300
151,241,57.79898987,21.51112272,14.64572991,0.732427981,241,81.39834025,130,33,302
152,131,47.93502884,20.48641503,8.617766096,0.907219481,131,103.7480916,214,24,304
